AJxt_anchor,FAQ
AAAGAf3SAgXSAgKFAgX5_anchor,125 PSI
AAAGAf3SAgXSAgKFAgX6_anchor,250 PSI
AAAGAf3SAgXSAgXT_anchor,High Silicon
AAAGAf3SAgXSAgXTAgZZ_anchor,DWV
AAAGAf3SAgXSAgXTAgZZAgVN_anchor,Hub & Spigot
AAAGAf3SAgXSAgXTAgZZAgVNAgKQ_anchor,Lead
AAAGAf3SAgXSAgXTAgZZAgVNAgKQAgYm_anchor,Service Weight
AAAGAf3SAgXSAgXTAgZZAgKR_anchor,No-Hub
AAAGAf3SAgXSAgJ8_anchor,Thread
AAAGAf3SAgXSAgJ8AgX5_anchor,125 PSI
AAAGAf3SAgXSAgJ8AgX6_anchor,250 PSI
AAAGAf3SAgW7_anchor,Chrome Moly
AAAGAf3SAgW7AgW8_anchor,1-1/4 Chrome 1/2 Moly
AAAGAf3SAgW7AgW8AgJ__anchor,Butt Weld
AAAGAf3SAgW7AgW8AgJ_AgYb_anchor,Double Extra Heavy
AAAGAf3SAgW7AgW8AgJ_AgYZ_anchor,Extra Heavy
AAAGAf3SAgW7AgW8AgJ_AgYj_anchor,Schedule 100
AAAGAf3SAgW7AgW8AgJ_AgYk_anchor,Schedule 120
AAAGAf3SAgW7AgW8AgJ_AgYl_anchor,Schedule 140
AAAGAf3SAgW7AgW8AgJ_AgYa_anchor,Schedule 160
AAAGAf3SAgW7AgW8AgJ_AgYc_anchor,Schedule 40
AAAGAf3SAgW7AgW8AgJ_AgYi_anchor,Schedule 60
AAAGAf3SAgW7AgW8AgJ_AgYd_anchor,Schedule 80
AAAGAf3SAgW7AgW8AgJ_AgYY_anchor,Standard Weight
AAAGAf3SAgW7AgW8AgJ7_anchor,Socket Weld
AAAGAf3SAgW7AgW8AgJ7AgXw_anchor,3000 PSI
AAAGAf3SAgW7AgW8AgJ7AgX1_anchor,6000 PSI
AAAGAf3SAgW7AgW8AgJ7AgX__anchor,9000 PSI
AAAGAf3SAgW7AgW8AgJ8_anchor,Thread
AAAGAf3SAgW7AgW8AgJ8AgXw_anchor,3000 PSI
AAAGAf3SAgW7AgW8AgJ8AgX1_anchor,6000 PSI
AAAGAf3SAgW7AgW9_anchor,2-1/4 Chrome 1 Moly
AAAGAf3SAgW7AgW9AgJ__anchor,Butt Weld
AAAGAf3SAgW7AgW9AgJ_AgYb_anchor,Double Extra Heavy
AAAGAf3SAgW7AgW9AgJ_AgYZ_anchor,Extra Heavy
AAAGAf3SAgW7AgW9AgJ_AgYj_anchor,Schedule 100
AAAGAf3SAgW7AgW9AgJ_AgYk_anchor,Schedule 120
AAAGAf3SAgW7AgW9AgJ_AgYl_anchor,Schedule 140
AAAGAf3SAgW7AgW9AgJ_AgYa_anchor,Schedule 160
AAAGAf3SAgW7AgW9AgJ_AgYc_anchor,Schedule 40
AAAGAf3SAgW7AgW9AgJ_AgYi_anchor,Schedule 60
AAAGAf3SAgW7AgW9AgJ_AgYd_anchor,Schedule 80
AAAGAf3SAgW7AgW9AgJ_AgYY_anchor,Standard Weight
AAAGAf3SAgW7AgW9AgJ7_anchor,Socket Weld
AAAGAf3SAgW7AgW9AgJ7AgXw_anchor,3000 PSI
AAAGAf3SAgW7AgW9AgJ7AgX1_anchor,6000 PSI
AAAGAf3SAgW7AgW9AgJ7AgX__anchor,9000 PSI
AAAGAf3SAgW7AgW9AgJ8_anchor,Thread
AAAGAf3SAgW7AgW9AgJ8AgXw_anchor,3000 PSI
AAAGAf3SAgW7AgW9AgJ8AgX1_anchor,6000 PSI
AAAGAf3SAgW7AgW-_anchor,5 Chrome 1/2 Moly
AAAGAf3SAgW7AgW-AgJ__anchor,Butt Weld
AAAGAf3SAgW7AgW-AgJ_AgYb_anchor,Double Extra Heavy
AAAGAf3SAgW7AgW-AgJ_AgYZ_anchor,Extra Heavy
AAAGAf3SAgW7AgW-AgJ_AgYj_anchor,Schedule 100
AAAGAf3SAgW7AgW-AgJ_AgYk_anchor,Schedule 120
AAAGAf3SAgW7AgW-AgJ_AgYl_anchor,Schedule 140
AAAGAf3SAgW7AgW-AgJ_AgYa_anchor,Schedule 160
AAAGAf3SAgW7AgW-AgJ_AgYc_anchor,Schedule 40
AAAGAf3SAgW7AgW-AgJ_AgYi_anchor,Schedule 60
AAAGAf3SAgW7AgW-AgJ_AgYd_anchor,Schedule 80
AAAGAf3SAgW7AgW-AgJ_AgYY_anchor,Standard Weight
AAAGAf3SAgW7AgW-AgJ7_anchor,Socket Weld
AAAGAf3SAgW7AgW-AgJ7AgXw_anchor,3000 PSI
AAAGAf3SAgW7AgW-AgJ7AgX1_anchor,6000 PSI
AAAGAf3SAgW7AgW-AgJ7AgX__anchor,9000 PSI
AAAGAf3SAgW7AgW-AgJ8_anchor,Thread
AAAGAf3SAgW7AgW-AgJ8AgXw_anchor,3000 PSI
AAAGAf3SAgW7AgW-AgJ8AgX1_anchor,6000 PSI
AAAGAf3SAgW7AgW__anchor,9 Chrome 1 Moly
AAAGAf3SAgW7AgW_AgJ__anchor,Butt Weld
AAAGAf3SAgW7AgW_AgJ_AgYb_anchor,Double Extra Heavy
AAAGAf3SAgW7AgW_AgJ_AgYZ_anchor,Extra Heavy
AAAGAf3SAgW7AgW_AgJ_AgYj_anchor,Schedule 100
AAAGAf3SAgW7AgW_AgJ_AgYk_anchor,Schedule 120
AAAGAf3SAgW7AgW_AgJ_AgYl_anchor,Schedule 140
AAAGAf3SAgW7AgW_AgJ_AgYa_anchor,Schedule 160
AAAGAf3SAgW7AgW_AgJ_AgYc_anchor,Schedule 40
AAAGAf3SAgW7AgW_AgJ_AgYi_anchor,Schedule 60
AAAGAf3SAgW7AgW_AgJ_AgYd_anchor,Schedule 80
AAAGAf3SAgW7AgW_AgJ_AgYY_anchor,Standard Weight
AAAGAf3SAgW7AgW_AgJ7_anchor,Socket Weld
AAAGAf3SAgW7AgW_AgJ7AgXw_anchor,3000 PSI
AAAGAf3SAgW7AgW_AgJ7AgX1_anchor,6000 PSI
AAAGAf3SAgW7AgW_AgJ7AgX__anchor,9000 PSI
AAAGAf3SAgW7AgW_AgJ8_anchor,Thread
AAAGAf3SAgW7AgW_AgJ8AgXw_anchor,3000 PSI
AAAGAf3SAgW7AgW_AgJ8AgX1_anchor,6000 PSI
AAAGAgbFAgbK_anchor,Concrete
AAAGAgbFAgbKAgbM_anchor,Bell & Spigot O-Ring Joint
AAAGAgbFAgbKAgbL_anchor,Tongue & Groove Mastic Joint
AAAGAf3SAgXU_anchor,Copper
AAAGAf3SAgXUAgKM_anchor,95/5 Solder
AAAGAf3SAgXUAgZZ_anchor,DWV
AAAGAf3SAgXUAgZZAgKJ_anchor,50/50 Solder
AAAGAf3SAgXUAgJ9_anchor,Groove
AAAGAf3SAgXUAgKS_anchor,Press
AAAGAf3SAgXUAgKK_anchor,Silfos Solder
AAAGAf3SAgXUAgKL_anchor,Silver Solder
AAAGAf3SAgXY_anchor,Corrugated Galvanized
AAAGAf3SAgXYAgKT_anchor,Clamp
AAAGAf3SAgXYAgKTAgYq_anchor,10 Gauge
AAAGAf3SAgXYAgKTAgYp_anchor,12 Gauge
AAAGAf3SAgXYAgKTAgYo_anchor,14 Gauge
AAAGAf3SAgXYAgKTAgYn_anchor,16 Gauge
AAAGAf3SAgXYAgKTAgYr_anchor,8 Gauge
AAAGAf3SAgXZ_anchor,Corrugated Stainless Steel Tubing
AAAGAf3SAgXZAgKA_anchor,Compression
AAAGAf3SAgXa_anchor,CPVC
AAAGAf3SAgXaAgZZ_anchor,DWV
AAAGAf3SAgXaAgZZAgJ-_anchor,Solvent Cement
AAAGAf3SAgXaAgZZAgJ-AgYc_anchor,Schedule 40
AAAGAf3SAgXaAgJ-_anchor,Solvent Cement
AAAGAf3SAgXaAgJ-AgYd_anchor,Schedule 80
AAAGAf3SAgXaAgJ8_anchor,Thread
AAAGAf3SAgXaAgJ8AgYd_anchor,Schedule 80
AAAGAf3SAgXb_anchor,Ductile Iron
AAAGAf3SAgXbAgZf_anchor,AWWA
AAAGAf3SAgXbAgZfAgVO_anchor,C110 Full Body
AAAGAf3SAgXbAgZfAgVOAgKF_anchor,Flange
AAAGAf3SAgXbAgZfAgVOAgKP_anchor,Gasket
AAAGAf3SAgXbAgZfAgVOAgKU_anchor,Mechanical
AAAGAf3SAgXbAgZfAgVP_anchor,C153 Compact Body
AAAGAf3SAgXbAgZfAgVPAgKF_anchor,Flange
AAAGAf3SAgXbAgZfAgVPAgKP_anchor,Gasket
AAAGAf3SAgXbAgZfAgVPAgKU_anchor,Mechanical
AAAGAf3SAgXbAgZfAgJ9_anchor,Groove
AAAGAf3SAgXc_anchor,Fiberglass
AAAGAf3SAgXcAgKV_anchor,Butt Wrapped w/ Glass Mat Overlay
AAAGAgbFAgbvAgbwAgby_anchor,1" Wall Thickness
AAAGAf3SAgXcAgKVAgjG_anchor,1/2" Wall Thickness
AAAGAf3SAgXcAgKVAgYs_anchor,1/4" Wall Thickness
AAAGAgbFAgbvAgbwAgbx_anchor,3/4" Wall Thickness
AAAGAf3SAgXcAgKF_anchor,Flange
AAAGAf3SAgXcAgKFAgXx_anchor,150 PSI
AAAGAf3SAgXcAgVQ_anchor,Straight Socket
AAAGAf3SAgXcAgVQAgKW_anchor,Epoxy
AAAGAf3SAgXcAgVR_anchor,Taper Socket
AAAGAf3SAgXcAgVRAgKW_anchor,Epoxy
AAAGAf3SAgXd_anchor,Glass
AAAGAf3SAgXdAgKX_anchor,Bead
AAAGAf3SAgXdAgZZ_anchor,DWV
AAAGAf3SAgXdAgZZAgKX_anchor,Bead
AAAGAf3SAgXdAgKF_anchor,Flange
AAAGAf3SAgXe_anchor,Hastelloy C-22
AAAGAf3SAgXeAgZg_anchor,Ultra High Purity
AAAGAf3SAgXeAgZgAgVS_anchor,Long Radius
AAAGAf3SAgXeAgZgAgVSAgKY_anchor,Orbital Butt Weld
AAAGAf3SAgXf_anchor,HDPE
AAAGAf3SAgXfAgXg_anchor,Corrugated Drainage
AAAGAf3SAgXfAgXgAgKP_anchor,Gasket
AAAGAf3SAgXfAgW1_anchor,CTS Molded
AAAGAf3SAgXfAgW1AgKZ_anchor,Butt Fusion
AAAGAf3SAgXfAgW1AgKa_anchor,Socket Fusion
AAAGAf3SAgXfAgVU_anchor,DIPS, Segmented
AAAGAf3SAgXfAgVUAgKZ_anchor,Butt Fusion
AAAGAf3SAgXfAgVUAgKZAgYv_anchor,DR 11
AAAGAf3SAgXfAgVUAgKZAgYw_anchor,DR 13.5
AAAGAf3SAgXfAgVUAgKZAgYx_anchor,DR 17
AAAGAf3SAgXfAgVUAgKZAgYy_anchor,DR 21
AAAGAf3SAgXfAgVUAgKZAgYz_anchor,DR 26
AAAGAf3SAgXfAgVUAgKZAgY0_anchor,DR 32.5
AAAGAf3SAgXfAgVUAgKZAgYt_anchor,DR 7
AAAGAf3SAgXfAgVUAgKZAgYu_anchor,DR 9
AAAGAf3SAgXfAgZZ_anchor,DWV
AAAGAf3SAgXfAgZZAgKa_anchor,Socket Fusion
AAAGAf3SAgXfAgVT_anchor,IPS, Molded
AAAGAf3SAgXfAgVTAgKZ_anchor,Butt Fusion
AAAGAf3SAgXfAgVTAgKZAgYv_anchor,DR 11
AAAGAf3SAgXfAgVTAgKZAgYw_anchor,DR 13.5
AAAGAf3SAgXfAgVTAgKZAgYx_anchor,DR 17
AAAGAf3SAgXfAgVTAgKZAgYt_anchor,DR 7
AAAGAf3SAgXfAgVTAgKZAgYu_anchor,DR 9
AAAGAf3SAgXfAgVTAgKe_anchor,Electro Fusion
AAAGAf3SAgXfAgVTAgKeAgY1_anchor,SDR 11
AAAGAf3SAgXfAgVTAgKa_anchor,Socket Fusion
AAAGAf3SAgXfAgVV_anchor,IPS, Segmented
AAAGAf3SAgXfAgVVAgKZ_anchor,Butt Fusion
AAAGAf3SAgXfAgVVAgKZAgYv_anchor,DR 11
AAAGAf3SAgXfAgVVAgKZAgYw_anchor,DR 13.5
AAAGAf3SAgXfAgVVAgKZAgYx_anchor,DR 17
AAAGAf3SAgXfAgVVAgKZAgYy_anchor,DR 21
AAAGAf3SAgXfAgVVAgKZAgYz_anchor,DR 26
AAAGAf3SAgXfAgVVAgKZAgY0_anchor,DR 32.5
AAAGAf3SAgXfAgVVAgKZAgYt_anchor,DR 7
AAAGAf3SAgXfAgVVAgKZAgYu_anchor,DR 9
AAAGAf3SAgXh_anchor,Malleable Iron
AAAGAf3SAgXhAgJ8_anchor,Thread
AAAGAf3SAgXhAgJ8AgXx_anchor,150 PSI
AAAGAf3SAgXhAgJ8AgXy_anchor,300 PSI
AAAGAf3SAgXL_anchor,Nickel Alloy
AAAGAf3SAgXLAgJ__anchor,Butt Weld
AAAGAf3SAgXLAgJ_AgYZ_anchor,Extra Heavy
AAAGAf3SAgXLAgJ_AgYe_anchor,Schedule 10
AAAGAf3SAgXLAgJ_AgYY_anchor,Standard Weight
AAAGAf3SAgXLAgJ7_anchor,Socket Weld
AAAGAf3SAgXLAgJ7AgXw_anchor,3000 PSI
AAAGAf3SAgXLAgJ7AgX1_anchor,6000 PSI
AAAGAf3SAgXLAgJ8_anchor,Thread
AAAGAf3SAgXLAgJ8AgXx_anchor,150 PSI
AAAGAf3SAgXLAgJ8AgXw_anchor,3000 PSI
AAAGAf3SAgXLAgJ8AgX1_anchor,6000 PSI
AAAGAf3SAgXi_anchor,PEX
AAAGAf3SAgXiAgKb_anchor,Crimp Ring or Expansion/ Shrink Sleeve
AAAGAf3SAgXj_anchor,Polyethylene
AAAGAgbFAgbQAgbR_anchor,DWV Socket Fusion
AAAGAf3SAgXjAgKa_anchor,Socket Fusion
AAAGAf3SAgXk_anchor,Polypropylene
AAAGAf3SAgXkAgXl_anchor,Aquatherm
AAAGAf3SAgXkAgXlAgKZ_anchor,Butt Fusion
AAAGAf3SAgXkAgXlAgKZAgY1_anchor,SDR 11
AAAGAf3SAgXkAgXlAgKZAgY2_anchor,SDR 17.6
AAAGAf3SAgXkAgXlAgKZAgY3_anchor,SDR 7.4
AAAGAf3SAgXkAgXlAgKZAgd0_anchor,SDR 9
AAAGAf3SAgXkAgXlAgKa_anchor,Socket Fusion
AAAGAf3SAgXkAgKZ_anchor,Butt Fusion
AAAGAf3SAgXkAgKZAgXx_anchor,150 PSI
AAAGAf3SAgXkAgKZAgYA_anchor,45 PSI
AAAGAf3SAgXkAgKZAgYB_anchor,90 PSI
AAAGAf3SAgXkAgZZ_anchor,DWV
AAAGAgbFAgbNAgbSAgbT_anchor,Mechanical Joint
AAAGAf3SAgXkAgZZAgKR_anchor,No-Hub
AAAGAf3SAgXkAgZZAgKRAgYc_anchor,Schedule 40
AAAGAf3SAgXkAgZZAgKa_anchor,Socket Fusion
AAAGAf3SAgXkAgZZAgKaAgYc_anchor,Schedule 40
AAAGAf3SAgXkAgKe_anchor,Electro Fusion
AAAGAgbFAgbNAgbO_anchor,Pressure
AAAGAgbFAgbNAgbOAgbP_anchor,Double Wall Insulated Flexible Tubing (Ecoflex)
AAAGAf3SAgXkAgKa_anchor,Socket Fusion
AAAGAf3SAgXkAgJ8_anchor,Thread
AAAGAf3SAgXkAgJ8AgYd_anchor,Schedule 80
AAAGAf3SAgXn_anchor,PVC
AAAGAf3SAgXnAgXo_anchor,C900/C907
AAAGAf3SAgXnAgXoAgZf_anchor,AWWA
AAAGAf3SAgXnAgXoAgZfAgKP_anchor,Gasket
AAAGAf3SAgXnAgXoAgZfAgKPAgY4_anchor,DR 18
AAAGAf3SAgXnAgXp_anchor,Clear
AAAGAf3SAgXnAgXpAgZk_anchor,Split System Secondary Containment
AAAGAf3SAgXnAgXpAgZkAgKg_anchor,Adhesive Clam Shell Connections
AAAGAf3SAgXnAgZZ_anchor,DWV
AAAGAf3SAgXnAgZZAgVW_anchor,Segmented
AAAGAf3SAgXnAgZZAgVWAgKP_anchor,Gasket
AAAGAf3SAgXnAgZZAgVWAgKPAgYc_anchor,Schedule 40
AAAGAf3SAgXnAgZZAgVWAgJ-_anchor,Solvent Cement
AAAGAf3SAgXnAgZZAgVWAgJ-AgYc_anchor,Schedule 40
AAAGAf3SAgXnAgZZAgJ-_anchor,Solvent Cement
AAAGAf3SAgXnAgZZAgJ-AgYc_anchor,Schedule 40
AAAGAf3SAgXnAgKF_anchor,Flange
AAAGAf3SAgXnAgKFAgYd_anchor,Schedule 80
AAAGAf3SAgXnAgKFAgYdAgXx_anchor,150 PSI
AAAGAf3SAgXnAgZi_anchor,High Purity Low Extractable (LXT)
AAAGAf3SAgXnAgZiAgJ-_anchor,Solvent Cement
AAAGAf3SAgXnAgZiAgJ-AgYd_anchor,Schedule 80
AAAGAf3SAgXnAgZj_anchor,Sewer & Drainage
AAAGAf3SAgXnAgZjAgKP_anchor,Gasket
AAAGAf3SAgXnAgZjAgKPAgY5_anchor,SDR 26
AAAGAf3SAgXnAgZjAgKPAgY6_anchor,SDR 35
AAAGAf3SAgXnAgZjAgJ-_anchor,Solvent Cement
AAAGAf3SAgXnAgZjAgJ-AgY6_anchor,SDR 35
AAAGAf3SAgXnAgJ-_anchor,Solvent Cement
AAAGAf3SAgXnAgJ-AgYc_anchor,Schedule 40
AAAGAf3SAgXnAgJ-AgYd_anchor,Schedule 80
AAAGAf3SAgXnAgJ8_anchor,Thread
AAAGAf3SAgXnAgJ8AgYc_anchor,Schedule 40
AAAGAf3SAgXnAgJ8AgYd_anchor,Schedule 80
AAAGAf3SAgXm_anchor,PVDF
AAAGAf3SAgXmAgKZ_anchor,Butt Fusion
AAAGAf3SAgXmAgKZAgXx_anchor,150 PSI
AAAGAf3SAgXmAgKZAgYC_anchor,232 PSI
AAAGAf3SAgXmAgZZ_anchor,DWV
AAAGAgbFAgbzAgb0Agb1_anchor,Butt Fusion
AAAGAf3SAgXmAgZZAgKe_anchor,Electro Fusion
AAAGAf3SAgXmAgZZAgKf_anchor,Hot Air Weld
AAAGAf3SAgXmAgZZAgKR_anchor,No-Hub
AAAGAf3SAgXmAgZZAgKRAgYc_anchor,Schedule 40
AAAGAf3SAgXmAgZZAgKa_anchor,Socket Fusion
AAAGAf3SAgXmAgZh_anchor,High Purity
AAAGAf3SAgXmAgZhAgKZ_anchor,Butt Fusion
AAAGAf3SAgXmAgZhAgKZAgXx_anchor,150 PSI
AAAGAf3SAgXmAgZhAgKZAgYC_anchor,232 PSI
AAAGAgbFAgbzAgb2_anchor,Pressure
AAAGAgbFAgbzAgb2Agb3_anchor,Butt Fusion - SIB (BCF)
AAAGAf3SAgXmAgKa_anchor,Socket Fusion
AAAGAf3SAgXmAgJ8_anchor,Thread
AAAGAf3SAgXM_anchor,Stainless Steel
AAAGAf3SAgXMAgVL_anchor,Belled End
AAAGAf3SAgXMAgVLAgKC_anchor,Seal Weld
AAAGAf3SAgXMAgVLAgKCAgYe_anchor,Schedule 10
AAAGAf3SAgXMAgVLAgKCAgYf_anchor,Schedule 5
AAAGAf3SAgXMAgZl_anchor,Bio Pharmaceutical (BPE)
AAAGAf3SAgXMAgZlAgKT_anchor,Clamp
AAAGAf3SAgXMAgJ__anchor,Butt Weld
AAAGAf3SAgXMAgJ_AgYb_anchor,Double Extra Heavy
AAAGAf3SAgXMAgJ_AgYZ_anchor,Extra Heavy
AAAGAf3SAgXMAgJ_AgYe_anchor,Schedule 10
AAAGAf3SAgXMAgJ_AgYj_anchor,Schedule 100
AAAGAf3SAgXMAgJ_AgYk_anchor,Schedule 120
AAAGAf3SAgXMAgJ_AgYl_anchor,Schedule 140
AAAGAf3SAgXMAgJ_AgYa_anchor,Schedule 160
AAAGAf3SAgXMAgJ_AgYg_anchor,Schedule 20
AAAGAf3SAgXMAgJ_AgYh_anchor,Schedule 30
AAAGAf3SAgXMAgJ_AgYc_anchor,Schedule 40
AAAGAf3SAgXMAgJ_AgYf_anchor,Schedule 5
AAAGAf3SAgXMAgJ_AgYi_anchor,Schedule 60
AAAGAf3SAgXMAgJ_AgYd_anchor,Schedule 80
AAAGAf3SAgXMAgJ_AgYY_anchor,Standard Weight
AAAGAf3SAgXMAgKA_anchor,Compression
AAAGAf3SAgXMAgKH_anchor,Flare
AAAGAf3SAgXMAgJ9_anchor,Groove
AAAGAf3SAgXMAgJ9AgYe_anchor,Schedule 10
AAAGAf3SAgXMAgJ9AgYf_anchor,Schedule 5
AAAGAf3SAgXMAgJ9AgYY_anchor,Standard Weight
AAAGAf3SAgXMAgKG_anchor,Lokring
AAAGAf3SAgXMAgKO_anchor,Pressfit
AAAGAf3SAgXMAgKx_anchor,Push Fit
AAAGAf3SAgXMAgZm_anchor,Sanitary Food Grade
AAAGAf3SAgXMAgZmAgKi_anchor,Bevel Seat
AAAGAf3SAgXMAgZmAgJ__anchor,Butt Weld
AAAGAf3SAgXMAgZmAgKh_anchor,Ferrule Clamp
AAAGAf3SAgXMAgZmAgKj_anchor,I-Line
AAAGAf3SAgXMAgXN_anchor,Saran, Polypropylene or Teflon Lined
AAAGAf3SAgXMAgXNAgKF_anchor,Flange
AAAGAf3SAgXMAgXNAgKFAgX9_anchor,Class 150
AAAGAf3SAgXMAgXNAgKFAgX-_anchor,Class 300
AAAGAf3SAgXMAgJ7_anchor,Socket Weld
AAAGAf3SAgXMAgJ7AgXx_anchor,150 PSI
AAAGAf3SAgXMAgJ7AgXw_anchor,3000 PSI
AAAGAf3SAgXMAgJ7AgX1_anchor,6000 PSI
AAAGAf3SAgXMAgJ7AgX__anchor,9000 PSI
AAAGAf3SAgXMAgJ8_anchor,Thread
AAAGAf3SAgXMAgJ8AgXx_anchor,150 PSI
AAAGAf3SAgXMAgJ8AgX8_anchor,2000 PSI
AAAGAf3SAgXMAgJ8AgXw_anchor,3000 PSI
AAAGAf3SAgXMAgJ8AgX1_anchor,6000 PSI
AAAGAf3SAgXMAgZg_anchor,Ultra High Purity
AAAGAf3SAgXMAgZgAgVX_anchor,Coaxial, Long Radius
AAAGAf3SAgXMAgZgAgVXAgKk_anchor,Coaxial
AAAGAf3SAgXMAgZgAgVS_anchor,Long Radius
AAAGAf3SAgXMAgZgAgVSAgKY_anchor,Orbital Butt Weld
AAAGAf3SAgXMAgZgAgsB_anchor,Micro-Fit
AAAGAf3SAgXMAgZgAgsBAgKY_anchor,Orbital Butt Weld
AAAGAf3SAgXMAgZgAgVY_anchor,VCR Tube
AAAGAf3SAgXMAgZgAgVYAgKl_anchor,VCR SS Metal Gasket Face Seal
AAAGAf3SAgXMAgZc_anchor,Vacuum Tubing
AAAGAf3SAgXMAgZcAgVL_anchor,Belled End
AAAGAf3SAgXMAgZcAgVLAgKB_anchor,Adhesive Joint
AAAGAf3SAgXMAgZcAgVLAgKC_anchor,Seal Weld
AAAGAf3SAgXMAgZcAgVLAgKD_anchor,Shrink Sleeve
AAAGAf3SAgXMAgZcAgVM_anchor,Straight End
AAAGAf3SAgXMAgZcAgVMAgKA_anchor,Compression
AAAGAf3SAgXMAgZcAgVMAgKE_anchor,Slip Coupling w/ Shrink Sleeve
AAAGAgbFAgbV_anchor,Vitrified Clay
AAAGAgbFAgbVAgb4_anchor,Bell & Spigot
AAAGAgbFAgbVAgb4Agb5_anchor,Gasket Joint
AAAGAgbFAgbVAgb4Agb6_anchor,Grout Joint
AAAGAgbFAgbVAgbW_anchor,Coupling Collar Joint
AAAGAgBq_anchor,Flanges
AAAGAgBqAgW2_anchor,Aluminum
AAAGAgBqAgW2AgKF_anchor,Flange
AAAGAgBqAgW2AgKFAgXx_anchor,150 PSI
AAAGAgBqAgW2AgKFAgXy_anchor,300 PSI
AAAGAgBqAgW2AgKFAgX0_anchor,600 PSI
AAAGAgBqAgXQ_anchor,Brass or Bronze
AAAGAgBqAgXQAgKF_anchor,Flange
AAAGAgBqAgXQAgKFAgX5_anchor,125 PSI
AAAGAgBqAgXQAgKFAgXx_anchor,150 PSI
AAAGAgBqAgXQAgKFAgX6_anchor,250 PSI
AAAGAgBqAgXQAgKFAgXy_anchor,300 PSI
AAAGAgBqAgW3_anchor,Carbon Steel
AAAGAgBqAgW3AgZd_anchor,Ammonia
AAAGAgBqAgW3AgZdAgVa_anchor,Tongue & Groove
AAAGAgBqAgW3AgZdAgVaAgJ__anchor,Butt Weld
AAAGAgBqAgW3AgZdAgVaAgJ_AgYD_anchor,500 PSI
AAAGAgBqAgW3AgZdAgVaAgKL_anchor,Silver Solder
AAAGAgBqAgW3AgZdAgVaAgKLAgYD_anchor,500 PSI
AAAGAgBqAgW3AgZdAgVaAgJ7_anchor,Socket Weld
AAAGAgBqAgW3AgZdAgVaAgJ7AgYD_anchor,500 PSI
AAAGAgBqAgW3AgZdAgVaAgJ8_anchor,Thread
AAAGAgBqAgW3AgZdAgVaAgJ8AgYD_anchor,500 PSI
AAAGAgBqAgW3AgKF_anchor,Flange
AAAGAgBqAgW3AgKFAgX5_anchor,125 PSI
AAAGAgBqAgW3AgKFAgXx_anchor,150 PSI
AAAGAgBqAgW3AgKFAgX3_anchor,1500 PSI
AAAGAgBqAgW3AgKFAgX4_anchor,2500 PSI
AAAGAgBqAgW3AgKFAgXy_anchor,300 PSI
AAAGAgBqAgW3AgKFAgXz_anchor,400 PSI
AAAGAgBqAgW3AgKFAgX0_anchor,600 PSI
AAAGAgBqAgW3AgKFAgX2_anchor,900 PSI
AAAGAgBqAgW3AgW5_anchor,Saran, Polypropylene or Teflon Lined
AAAGAgBqAgW3AgW5AgKF_anchor,Flange
AAAGAgBqAgW3AgW5AgKFAgXx_anchor,150 PSI
AAAGAgBqAgW3AgW5AgKFAgXy_anchor,300 PSI
AAAGAgBqAgXS_anchor,Cast Iron
AAAGAgBqAgXSAgKF_anchor,Flange
AAAGAgBqAgXSAgKFAgX5_anchor,125 PSI
AAAGAgBqAgXSAgKFAgX6_anchor,250 PSI
AAAGAgBqAgW7_anchor,Chrome Moly
AAAGAgBqAgW7AgW8_anchor,1-1/4 Chrome 1/2 Moly
AAAGAgBqAgW7AgW8AgKF_anchor,Flange
AAAGAgBqAgW7AgW8AgKFAgXx_anchor,150 PSI
AAAGAgBqAgW7AgW8AgKFAgX3_anchor,1500 PSI
AAAGAgBqAgW7AgW8AgKFAgX4_anchor,2500 PSI
AAAGAgBqAgW7AgW8AgKFAgXy_anchor,300 PSI
AAAGAgBqAgW7AgW8AgKFAgXz_anchor,400 PSI
AAAGAgBqAgW7AgW8AgKFAgX0_anchor,600 PSI
AAAGAgBqAgW7AgW8AgKFAgX2_anchor,900 PSI
AAAGAgBqAgW7AgW9_anchor,2-1/4 Chrome 1 Moly
AAAGAgBqAgW7AgW9AgKF_anchor,Flange
AAAGAgBqAgW7AgW9AgKFAgXx_anchor,150 PSI
AAAGAgBqAgW7AgW9AgKFAgX3_anchor,1500 PSI
AAAGAgBqAgW7AgW9AgKFAgX4_anchor,2500 PSI
AAAGAgBqAgW7AgW9AgKFAgXy_anchor,300 PSI
AAAGAgBqAgW7AgW9AgKFAgXz_anchor,400 PSI
AAAGAgBqAgW7AgW9AgKFAgX0_anchor,600 PSI
AAAGAgBqAgW7AgW9AgKFAgX2_anchor,900 PSI
AAAGAgBqAgW7AgW-_anchor,5 Chrome 1/2 Moly
AAAGAgBqAgW7AgW-AgKF_anchor,Flange
AAAGAgBqAgW7AgW-AgKFAgXx_anchor,150 PSI
AAAGAgBqAgW7AgW-AgKFAgX3_anchor,1500 PSI
AAAGAgBqAgW7AgW-AgKFAgX4_anchor,2500 PSI
AAAGAgBqAgW7AgW-AgKFAgXy_anchor,300 PSI
AAAGAgBqAgW7AgW-AgKFAgXz_anchor,400 PSI
AAAGAgBqAgW7AgW-AgKFAgX0_anchor,600 PSI
AAAGAgBqAgW7AgW-AgKFAgX2_anchor,900 PSI
AAAGAgBqAgW7AgW__anchor,9 Chrome 1 Moly
